Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
635613,武宫正树,王铭琬,黑中盘胜,B,2,-2,3,3
1056623,武宫正树,聂卫平,白胜5又1/4子,W,-3,-10,10,4
1098905,武宫正树,林海峰,黑胜3/4子,B,3,0,-15,6
1098907,芮乃伟,武宫正树,黑胜3又3/4子,B,1,6,17,9
1131526,武宫正树,刘昌赫,白棋超时胜,W,0,4,-9,11
1159260,石田芳夫,武宫正树,黑胜4.5目,B,-3,-1,4,-18
65857,李昌镐,李志贤,W+R,W,0,9,0,11
65909,罗玄,李昌镐,B+1.5,B,9,2,18,22
66076,孔杰,李昌镐,W+R,W,-1,6,1,-10
66094,崔哲瀚,李昌镐,B+R,B,0,-2,-4,14
66146,李昌镐,谢赫,黑超时胜,B,0,7,-1,9
66372,范廷钰,李昌镐,白超时胜,W,-1,4,-2,-18
66455,李昌镐,金志锡,B+R,B,3,-3,0,-11
66549,李昌镐,朴廷桓,B+R,B,12,8,10,-20
66634,李昌镐,金升宰,W+0.5,W,-14,-6,-15,8
66886,李昌镐,朴廷桓,W+R,W,2,4,1,12
67239,朴廷桓,李昌镐,W+R,W,-9,-7,-6,-12
67286,赵汉乘,李昌镐,W+R,W,5,13,-2,13
67346,李昌镐,朴永训,W+R,W,0,3,10,50
67502,申真谞,李昌镐,B+R,B,3,0,2,13
67566,李昌镐,李世石,B+R,B,-6,-6,-9,-33
67582,李昌镐,朴永训,W+R,W,1,-1,-6,28
67607,李昌镐,王昊洋,B+R,B,0,-2,0,-8
67770,李泰贤,李昌镐,W+R,W,3,1,-3,20
67800,李昌镐,陈耀烨,W+R,W,-1,-6,21,15
68028,李世石,李昌镐,W+R,W,5,4,12,36
68049,罗洗河,李昌镐,W+R,W,2,5,1,9
68071,李昌镐,陶忻,W+R,W,4,8,7,29
68075,李昌镐,陈潇楠,W+R,W,-1,4,0,-5
68099,朱元豪,李昌镐,黑胜3/4子,B,11,4,9,26
68105,汪涛,李昌镐,W+R,W,8,3,6,27
68138,李昌镐,檀啸,B+R,B,-3,-2,1,6
68154,李昌镐,古灵益,白胜1/4子,W,-16,-3,-11,18
68204,李昌镐,井山裕太,W+R,W,-6,-10,-13,-20
68239,李昌镐,李志贤,B+R,B,0,-1,-18,-11
68264,申真谞,李昌镐,W+1.5,W,2,5,3,-1
68279,李昌镐,雷震坤,W+R,W,-1,0,1,17
68446,洪性志,李昌镐,B+R,B,3,4,4,0
68849,赵汉乘,李昌镐,W+R,W,3,4,21,28
68864,白洪淅,李昌镐,B+R,B,2,-3,3,27
