Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
134251,徐奉洙,李昌镐,白中盘胜,W,2,-7,2,-6
135426,赵治勋,李昌镐,白2目半胜,W,1,4,1,-1
135868,李昌镐,姜东润,白中盘胜,W,3,7,1,2
158982,李昌镐,常昊,黑中盘胜,B,0,2,0,14
169020,金庭贤,李昌镐,白中盘胜,W,1,0,1,-5
171420,洪旼杓,李昌镐,白胜1.5目,W,1,-5,1,11
172738,李昌镐,李昌锡,黑中盘胜,B,0,6,0,14
177878,李世石,李昌镐,黑中盘胜,B,-3,-4,8,7
178956,李昌镐,崔宰荣,黑中盘胜,B,2,-4,3,-19
182817,许映皓,李昌镐,白中盘胜,W,2,3,0,-5
182825,李昌镐,姜至省,白中盘胜,W,-2,1,0,-3
185358,李昌镐,闵详然,黑中盘胜,B,1,-3,-2,17
190474,常昊,李昌镐,白中盘胜,W,2,1,1,-19
192572,姜儒泽,李昌镐,黑中盘胜,B,-2,1,-2,-20
195037,李昌镐,崔哲瀚,白中盘胜,W,0,-1,0,11
197005,李昌镐,金庭贤,白中盘胜,W,0,6,0,10
197646,依田纪基,李昌镐,白中盘胜,W,-1,1,-2,-20
197891,李昌镐,常昊,白中盘胜,W,2,8,2,23
216797,李昌镐,韩态熙,黑胜0.5目,B,0,-6,-2,5
219388,李昌镐,崔精,黑中盘胜,B,-1,3,-3,-23
219709,李昌镐,崔精,黑中盘胜,B,0,-8,-2,-1
223049,李昌镐,宋知勋,白胜0.5目,W,1,4,2,-2
223100,李昌镐,申旻埈,白胜5.5目,W,-2,1,-2,-21
225945,李泰贤,李昌镐,黑中盘胜,B,2,0,3,28
236874,李昌镐,姜儒泽,白中盘胜,W,-2,-4,-2,-13
237428,朴廷桓,李昌镐,黑中盘胜,B,-1,-6,-2,-8
258013,李昌镐,崔圭丙,黑中盘胜,B,-1,-2,2,5
274884,李昌镐,李世石,黑中盘胜,B,4,7,5,15
283843,李昌镐,朴廷桓,白中盘胜,W,-3,6,-2,-6
289402,林彦丞,李昌镐,黑中盘胜,B,0,11,0,-14
371154,李昌镐,李世石,黑胜7.5目,B,2,2,1,-1
371202,李昌镐,许映皓,白中盘胜,W,-1,1,-1,11
371393,李世石,李昌镐,黑中盘胜,B,6,2,7,-10
371502,李昌镐,李元荣,黑中盘胜,B,-2,2,-5,-11
371784,李昌镐,申旻埈,白中盘胜,W,-2,3,-4,-33
371888,许映皓,李昌镐,白中盘胜,W,-1,11,-1,-10
371970,李昌镐,申真谞,白中盘胜,W,-2,-1,0,20
372024,李昌镐,元晟溱,白胜2.5目,W,1,-4,1,14
372243,宋知勋,李昌镐,白中盘胜,W,0,-2,1,-14
372477,李昌镐,李映九,黑中盘胜,B,0,-3,0,6
372651,李昌镐,金庭贤,黑中盘胜,B,0,6,1,-12
372789,李昌锡,李昌镐,黑胜1.5目,B,-2,-1,-3,22
372952,李昌镐,赵汉乘,白中盘胜,W,0,-6,1,-4
372996,李昌镐,赵惠连,白胜0.5目,W,-3,7,-3,-31
373179,李元荣,李昌镐,白中盘胜,W,0,-2,-3,-14
373288,尹峻相,李昌镐,黑中盘胜,B,3,3,2,9
373460,李昌镐,崔精,黑中盘胜,B,2,-2,2,-11
374228,李昌镐,偰玹准,白中盘胜,W,1,-3,1,-11
377399,姜儒泽,李昌镐,白胜0.5目,W,-1,-1,-1,-23
385212,洪性志,李昌镐,黑中盘胜,B,1,7,-3,-1
395858,薛勋,李昌镐,白胜1目,W,1,-2,2,25
395860,元裕哲,李昌镐,黑中盘胜,B,-1,-8,-1,-25
405574,卞相壹,李昌镐,黑胜1.5目,B,2,-3,3,8
406220,尹灿熙,李昌镐,白中盘胜,W,-1,5,0,-6
